Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paul George,33:23,.515,.385,.538,.615,8.6,25.6,16.6,56.0,0.0,0.0,19.5,26.3,114,94,7.6
Kawhi Leonard,30:37,.460,.417,.333,.333,9.4,17.4,13.2,6.8,3.3,3.0,4.6,30.2,102,87,4.4
Marcus Morris,28:45,.432,.385,.615,.154,6.7,18.6,12.3,6.1,1.8,0.0,6.7,22.1,96,92,-0.7
Reggie Jackson,25:39,.530,.500,.222,.111,0.0,12.5,5.9,7.1,3.9,0.0,9.6,17.4,102,88,-0.6
Ivica Zubac,17:15,.200,.200,.000,.000,27.8,18.6,23.4,0.0,0.0,0.0,28.6,17.4,65,96,-15.6
Nicolas Batum,30:44,.722,.722,.778,.000,3.1,20.8,11.5,11.9,3.3,0.0,10.0,13.9,134,89,9.7
Terance Mann,23:47,.363,.333,.333,.333,0.0,22.4,10.6,13.5,0.0,0.0,12.7,14.2,80,95,-6.3
Luke Kennard,22:35,.901,.875,.875,.250,0.0,0.0,0.0,0.0,0.0,4.1,0.0,16.8,175,96,14.0
Robert Covington,19:15,.357,.357,.857,.000,0.0,16.6,7.9,17.2,2.6,0.0,22.2,20.0,68,90,-7.4
Amir Coffey,2:48,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,15.3,0,100,-23.4
Brandon Boston Jr.,2:36,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0,100,-20.8
Moses Brown,2:36,,,,,0.0,0.0,0.0,54.3,0.0,0.0,,0.0,241,98,6.3
