Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaden Ivey,35:28,.378,.333,.333,.533,2.9,3.7,3.2,24.2,0.0,0.0,17.8,27.7,82,134,-12.6
Killian Hayes,34:29,.417,.417,.250,.000,3.0,0.0,1.7,30.4,1.5,4.3,25.0,20.3,86,129,-7.1
Rodney McGruder,34:13,.667,.667,.667,.000,6.0,22.7,13.4,14.4,4.5,2.2,0.0,19.1,144,118,13.9
James Wiseman,29:55,.500,.500,.000,.000,10.2,26.0,17.2,5.8,0.0,0.0,12.5,23.4,98,128,-8.4
Eugene Omoruyi,25:52,.611,.611,.333,.000,3.9,10.0,6.6,6.2,2.0,0.0,10.0,16.9,115,128,-3.5
Cory Joseph,30:41,.707,.643,.571,.714,0.0,0.0,0.0,9.1,0.0,0.0,24.6,17.4,110,136,-5.9
Jalen Duren,27:07,.638,.700,.100,.400,18.8,38.3,27.4,26.6,5.7,0.0,20.3,23.8,116,112,7.7
R.J. Hampton,15:26,.436,.333,.333,.333,0.0,8.4,3.7,0.0,0.0,0.0,0.0,9.7,99,134,-9.6
Buddy Boeheim,6:49,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,136,-8.5
Marvin Bagley III,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Isaiah Livers,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jared Rhoden,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
