Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bam Adebayo,38:21,.578,.553,.053,.105,3.2,18.4,10.3,18.1,2.6,0.0,20.1,28.6,104,136,-5.7
Kyle Lowry,37:56,.485,.464,.429,.071,3.2,11.2,6.9,16.1,0.0,0.0,17.2,20.3,100,144,-10.0
Tyler Herro,37:17,.615,.588,.353,.118,6.6,15.1,10.6,32.7,0.0,3.4,18.3,25.9,123,141,0.6
Max Strus,35:58,.836,.792,.833,.333,0.0,3.9,1.8,7.1,1.4,0.0,0.0,16.9,173,142,5.1
Caleb Martin,24:13,.556,.556,.556,.000,5.1,29.1,16.3,5.1,0.0,0.0,18.2,20.0,98,139,-7.9
Haywood Highsmith,25:32,.889,.889,.667,.000,14.5,27.6,20.6,10.5,0.0,9.9,0.0,15.5,186,135,14.0
Gabe Vincent,19:22,.714,.714,.571,.000,0.0,0.0,0.0,6.7,2.6,0.0,12.5,18.2,124,140,-4.7
Duncan Robinson,11:42,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,12.7,0.0,0.0,3.8,300,115,10.5
Udonis Haslem,9:39,.000,.000,.500,.000,12.8,0.0,6.8,0.0,5.1,0.0,0.0,9.1,45,134,-11.3
Jamal Cain,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nikola Jović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dru Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
