Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kyle Kuzma,39:45,.467,.440,.320,.160,2.7,8.8,5.6,13.5,0.0,2.1,3.6,28.4,106,117,-0.6
Bradley Beal,38:41,.522,.475,.300,.450,8.3,6.1,7.2,26.7,0.0,0.0,17.3,30.5,103,120,0.5
Kristaps Porziņģis,37:31,.670,.643,.214,1.000,11.4,46.8,28.3,0.0,1.3,4.4,9.0,24.0,132,108,10.1
Monte Morris,28:54,.333,.333,.167,.000,0.0,16.2,7.7,14.0,1.7,0.0,25.0,11.3,69,115,-8.5
Deni Avdija,26:05,.444,.429,.143,.286,0.0,22.4,10.7,16.5,1.9,3.2,0.0,12.3,112,111,1.4
Corey Kispert,21:56,.680,.700,.600,.400,0.0,10.7,5.1,0.0,0.0,3.8,14.5,12.8,115,115,-1.6
Jordan Goodwin,19:06,.396,.200,.200,.600,11.2,18.4,14.6,20.7,0.0,0.0,13.7,15.6,104,119,-2.2
Will Barton,14:14,.250,.250,.000,.000,0.0,0.0,0.0,9.5,3.4,0.0,20.0,14.3,54,113,-9.8
Daniel Gafford,10:29,1.000,1.000,.000,.000,40.7,33.5,37.3,0.0,9.2,0.0,33.3,11.6,144,96,11.0
Anthony Gill,3:19,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0,121,-22.2
Taj Gibson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
