Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ja Morant,32:39,.523,.474,.158,.474,0.0,7.7,3.3,38.2,1.5,0.0,4.2,30.7,121,125,4.7
Desmond Bane,32:30,.666,.618,.471,.235,5.8,7.8,6.6,18.4,1.5,0.0,9.6,26.7,134,125,9.1
Dillon Brooks,30:43,.333,.333,.417,.000,3.1,8.2,5.3,0.0,0.0,3.3,14.3,19.1,66,126,-14.0
Jaren Jackson Jr.,28:29,.508,.462,.462,.308,6.6,22.2,13.3,4.7,3.5,14.3,0.0,21.7,120,107,4.2
Steven Adams,28:27,.732,.750,.000,.250,16.5,22.2,19.0,19.9,1.8,0.0,10.1,14.5,153,120,7.1
Brandon Clarke,19:33,.470,.429,.000,.143,19.3,19.4,19.3,6.7,7.7,5.2,0.0,15.9,129,104,4.9
Santi Aldama,19:31,1.000,1.000,.750,.000,0.0,12.9,5.5,0.0,2.6,5.2,11.1,19.3,161,118,16.9
Tyus Jones,18:07,.167,.167,.500,.000,5.2,13.9,8.9,12.8,2.8,0.0,0.0,13.9,69,120,-10.5
Ziaire Williams,16:39,.387,.333,.333,.667,0.0,0.0,0.0,7.0,0.0,0.0,0.0,9.8,98,130,-8.8
John Konchar,13:22,.250,.250,.500,.000,0.0,37.8,16.1,8.9,0.0,0.0,20.0,15.7,54,120,-13.7
Kennedy Chandler,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Xavier Tillman Sr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Vince Williams Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
