Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ja Morant,29:31,.644,.500,.167,.667,0.0,4.3,2.0,26.8,1.6,0.0,16.2,28.3,116,140,-0.6
Desmond Bane,27:15,.549,.455,.455,.364,0.0,23.2,10.9,26.1,1.8,0.0,7.3,22.7,112,133,1.6
Steven Adams,22:19,.258,.333,.000,.667,5.0,17.0,10.6,6.8,2.2,16.9,43.6,13.9,43,127,-6.5
Santi Aldama,20:47,.752,.625,.750,.750,10.7,24.3,17.1,0.0,0.0,0.0,27.3,15.9,115,137,-7.3
John Konchar,20:26,.625,.625,.750,.000,5.5,6.2,5.8,0.0,0.0,0.0,20.0,11.0,99,143,-7.2
Tyus Jones,24:05,.536,.500,.750,.375,0.0,0.0,0.0,35.6,2.0,3.9,9.7,19.3,112,139,3.4
David Roddy,23:26,.466,.417,.333,.167,4.8,10.8,7.6,8.6,0.0,0.0,7.2,26.7,92,141,-9.9
Jake LaRavia,22:26,.500,.500,.833,.000,0.0,11.3,5.3,0.0,0.0,0.0,14.3,14.1,80,141,-10.8
Brandon Clarke,16:47,.571,.571,.000,.000,0.0,22.6,10.6,12.7,0.0,5.6,12.5,21.5,97,135,-3.2
Kennedy Chandler,8:54,.000,.000,.000,.500,0.0,0.0,0.0,31.7,0.0,21.2,45.0,22.5,24,137,-9.9
Kenneth Lofton Jr.,8:54,.450,.500,.250,.250,0.0,14.2,6.7,23.2,0.0,0.0,0.0,22.5,95,140,-8.9
Xavier Tillman Sr.,8:54,.875,.875,.500,.000,12.5,14.2,13.3,30.3,0.0,0.0,20.0,25.3,131,140,11.3
Vince Williams Jr.,6:16,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0,145,-25.8
