Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ja Morant,33:32,.353,.328,.207,.172,4.7,2.9,3.9,38.0,0.0,0.0,13.8,38.8,84,123,-8.7
Desmond Bane,33:17,.504,.467,.267,.133,2.4,20.6,10.5,25.2,1.4,0.0,11.2,19.3,114,115,2.3
Jaren Jackson Jr.,33:01,.564,.438,.500,.750,2.4,14.8,7.9,0.0,1.4,11.2,22.0,14.8,98,109,-3.3
Dillon Brooks,30:37,.265,.265,.235,.000,5.1,12.8,8.6,12.8,1.5,0.0,5.6,21.1,77,116,-10.9
Steven Adams,25:47,.730,.857,.000,1.286,24.4,34.2,28.8,11.7,0.0,3.6,8.4,16.7,147,112,10.3
Brandon Clarke,22:08,.877,1.000,.000,1.429,17.8,22.1,19.7,0.0,2.0,8.3,8.1,20.1,161,107,15.6
Tyus Jones,19:57,.929,.889,.667,.444,0.0,4.9,2.2,16.8,0.0,0.0,0.0,19.4,199,122,19.6
Ziaire Williams,17:46,.167,.167,.500,.000,4.4,11.0,7.4,13.4,0.0,0.0,0.0,12.1,72,120,-12.4
Santi Aldama,14:59,.347,.250,.500,1.000,10.5,19.6,14.6,0.0,3.0,0.0,14.8,16.2,81,111,-6.7
John Konchar,8:56,,,,,17.6,21.9,19.5,12.5,5.0,0.0,,0.0,215,105,3.6
Kennedy Chandler,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jake LaRavia,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Xavier Tillman Sr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
