Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Grant Williams,47:31,.530,.500,.400,.300,4.5,19.4,11.6,10.7,1.0,0.0,30.6,15.1,88,118,-5.3
Mike Muscala,43:46,.533,.531,.625,.125,0.0,21.1,10.1,0.0,1.1,0.0,5.6,17.9,96,118,-3.9
Derrick White,43:04,.524,.479,.500,.167,0.0,5.4,2.6,43.8,3.3,0.0,10.4,29.3,112,116,5.4
Sam Hauser,39:01,.625,.625,.667,.000,8.2,17.7,12.7,7.2,1.2,0.0,0.0,13.5,136,118,2.4
Blake Griffin,24:12,.794,.833,.667,.111,4.4,23.8,13.7,40.0,2.0,4.6,9.6,18.9,152,112,17.9
Malcolm Brogdon,39:00,.620,.529,.353,.529,0.0,11.8,5.7,15.5,0.0,0.0,12.5,27.0,115,122,-2.2
Payton Pritchard,14:00,.466,.417,.667,.167,0.0,0.0,0.0,0.0,3.4,0.0,0.0,20.2,94,117,-5.2
Robert Williams,12:49,.600,.600,.000,.000,16.5,27.0,21.5,0.0,0.0,0.0,0.0,17.1,132,119,-0.2
Luke Kornet,1:36,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,-18.0
JD Davison,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Mfiondu Kabengele,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
