Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keldon Johnson,31:08,.751,.714,.500,.429,0.0,14.5,6.2,23.1,0.0,0.0,15.3,29.3,124,136,4.8
Jakob Poeltl,28:35,.543,.583,.000,.167,11.7,26.2,17.9,12.3,1.7,2.9,13.4,24.2,101,128,-4.4
Jeremy Sochan,24:11,1.250,1.250,.500,.000,4.6,6.2,5.3,5.7,2.1,3.4,0.0,3.8,241,130,0.8
Tre Jones,24:10,.286,.286,.143,.000,0.0,0.0,0.0,39.7,2.1,0.0,12.5,15.4,90,134,-9.1
Malaki Branham,22:37,.286,.286,.571,.000,0.0,13.3,5.7,12.2,2.2,0.0,22.2,18.5,55,131,-14.1
Devin Vassell,24:41,.751,.750,.500,.250,0.0,24.3,10.4,30.6,2.0,3.4,7.0,26.9,135,127,13.4
Josh Richardson,19:01,.571,.571,.571,.000,0.0,7.9,3.4,24.1,0.0,0.0,22.2,22.0,94,135,-10.2
Keita Bates-Diop,18:23,.680,.600,.200,.400,12.1,8.2,10.4,8.4,5.4,0.0,14.5,17.4,128,125,2.7
Isaiah Roby,16:10,.421,.429,.143,.429,0.0,37.1,15.8,29.6,0.0,0.0,0.0,23.9,99,132,-3.8
Doug McDermott,15:55,.116,.000,.667,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,26,138,-21.3
Gorgui Dieng,10:20,.833,.833,.667,.000,0.0,14.5,6.2,15.6,4.8,0.0,50.0,27.0,70,124,-5.6
Jordan Hall,4:49,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0,137,-23.4
