Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jarrett Allen,37:34,.745,.727,.000,.364,11.4,41.2,23.5,3.2,1.3,2.4,7.3,15.3,152,138,1.2
Donovan Mitchell,36:50,.523,.500,.440,.160,5.8,8.4,6.9,21.2,2.7,0.0,7.0,32.6,121,140,1.5
Darius Garland,35:19,.758,.818,.273,.182,3.0,0.0,1.8,27.8,0.0,0.0,7.8,15.2,156,147,1.6
Evan Mobley,31:56,.574,.500,.100,.300,16.7,9.7,13.8,24.8,3.1,2.8,20.9,18.7,127,136,3.5
Lamar Stevens,21:22,.394,.438,.375,.250,15.0,21.7,17.7,10.4,0.0,4.2,10.1,19.3,102,141,-5.8
Caris LeVert,34:51,.519,.471,.294,.176,0.0,13.3,5.4,6.8,1.4,2.6,5.2,23.2,117,140,-7.0
Kevin Love,21:05,.600,.600,.500,.000,10.1,29.4,18.0,5.9,2.4,0.0,9.1,21.8,126,139,-3.1
Isaac Okoro,21:03,1.025,1.000,.000,.500,0.0,22.1,9.0,11.2,0.0,0.0,0.0,9.7,213,146,4.1
Robin Lopez,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Raul Neto,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Cedi Osman,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
