Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Giannis Antetokounmpo,25:36,.507,.423,.231,1.000,3.5,22.3,11.8,36.6,1.9,0.0,5.1,32.2,112,136,6.4
Khris Middleton,22:23,.125,.125,.667,.000,0.0,10.2,4.5,32.6,2.1,0.0,25.0,29.9,37,138,-24.9
Grayson Allen,22:19,.286,.286,.286,.000,0.0,10.2,4.5,7.0,0.0,0.0,0.0,13.1,67,144,-13.4
Jevon Carter,22:07,.750,.750,.667,.000,0.0,10.3,4.6,15.2,0.0,0.0,0.0,11.3,150,144,0.3
Brook Lopez,18:06,.291,.167,.667,.333,10.0,6.3,8.4,8.2,0.0,0.0,0.0,15.9,86,144,-13.3
Bobby Portis,22:18,.638,.643,.286,.143,12.2,20.5,15.9,0.0,0.0,0.0,6.3,29.8,118,141,0.7
MarJon Beauchamp,21:52,.536,.500,.667,.556,8.3,5.2,6.9,16.7,4.3,0.0,0.0,21.4,122,135,4.6
George Hill,20:02,.357,.357,.857,.000,0.0,17.1,7.6,39.7,0.0,0.0,0.0,14.6,102,142,-5.4
Thanasis Antetokounmpo,15:36,.798,1.000,.000,2.000,11.6,7.3,9.7,0.0,0.0,4.4,0.0,5.0,177,141,-3.0
Jordan Nwora,15:34,.536,.438,.500,.375,0.0,22.0,9.7,12.0,3.0,0.0,9.7,27.7,102,134,0.5
Pat Connaughton,14:50,.300,.300,1.000,.000,0.0,30.8,13.6,0.0,0.0,0.0,16.7,16.9,51,138,-14.4
A.J. Green,14:06,.833,.833,.667,.000,6.4,0.0,3.6,0.0,0.0,0.0,14.3,20.7,124,146,2.5
Wesley Matthews,5:11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,146,-10.8
