Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Mikal Bridges,41:24,.735,.735,.412,.000,0.0,14.5,7.4,9.6,1.1,1.8,0.0,16.5,149,98,8.2
Devin Booker,35:27,.494,.458,.250,.125,2.9,8.5,5.8,19.6,0.0,0.0,13.6,33.3,96,103,-5.4
Deandre Ayton,31:33,.636,.636,.091,.000,3.3,44.4,24.3,8.1,1.4,0.0,0.0,14.0,136,94,3.7
Torrey Craig,29:35,.571,.571,.571,.000,3.5,13.5,8.6,0.0,4.5,5.2,0.0,9.5,120,89,4.9
Cameron Payne,28:18,.367,.367,.200,.000,3.7,3.5,3.6,30.0,1.6,0.0,25.0,28.5,76,101,-11.0
Damion Lee,20:30,.750,.750,.833,.000,5.1,29.3,17.4,11.4,0.0,0.0,14.3,13.8,135,100,6.4
Duane Washington Jr.,18:20,.500,.500,.333,.000,0.0,10.9,5.6,8.8,2.4,0.0,11.8,37.3,88,98,-2.8
Bismack Biyombo,16:27,.258,.333,.000,.667,0.0,18.2,9.3,6.5,2.7,9.3,34.0,14.4,42,88,-4.2
Ish Wainright,11:30,1.500,1.500,1.000,.000,18.1,8.7,13.3,10.5,0.0,13.3,0.0,7.0,271,92,22.6
Josh Okogie,6:55,.000,.000,.500,.000,15.1,14.5,14.8,14.5,0.0,0.0,33.3,17.5,42,102,-14.0
Jock Landale,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chris Paul,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dario Šarić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
