Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Trae Young,38:32,.698,.450,.400,1.800,0.0,5.2,2.9,52.4,0.0,0.0,18.2,23.2,146,119,3.3
Dejounte Murray,30:15,.684,.654,.231,.154,0.0,23.1,12.8,10.5,3.1,0.0,22.4,24.1,105,108,-1.0
John Collins,25:35,.998,.938,.500,1.000,0.0,11.7,6.5,0.0,0.0,0.0,0.0,18.4,206,117,9.3
Saddiq Bey,25:15,.556,.556,.556,.000,9.7,7.9,8.7,5.4,1.8,0.0,18.2,17.8,103,114,-5.4
Clint Capela,15:06,.666,.600,.000,.800,32.6,26.5,29.2,0.0,3.1,14.4,12.9,21.0,139,96,3.5
Onyeka Okongwu,23:51,.338,.250,.125,.250,10.3,16.8,13.9,15.5,3.9,3.0,10.1,16.9,98,105,-5.5
Jalen Johnson,23:23,.627,.636,.182,.364,0.0,34.2,18.9,14.3,0.0,0.0,13.6,25.8,110,112,-2.1
AJ Griffin,22:38,.889,.889,.667,.000,5.4,8.8,7.3,7.0,0.0,0.0,0.0,16.2,175,118,9.7
Aaron Holiday,21:28,1.031,1.000,.667,.667,5.7,0.0,2.6,23.2,6.5,3.4,20.5,9.3,175,104,15.7
Bruno Fernando,3:01,.000,.000,.500,.000,40.8,0.0,18.3,0.0,0.0,0.0,0.0,27.1,48,119,-44.8
Trent Forrest,3:01,.000,.000,.000,.000,0.0,33.1,18.3,37.0,0.0,0.0,33.3,40.6,25,112,-39.0
Vit Krejci,3:01,.000,.000,.500,.000,40.8,66.3,54.9,0.0,15.3,0.0,0.0,27.1,48,72,-6.2
Tyrese Martin,2:27,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,200,121,7.8
Garrison Mathews,2:27,.000,.000,1.000,.000,0.0,40.8,22.5,0.0,0.0,0.0,0.0,16.7,0,110,-22.3
