Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Durant,37:07,.794,.733,.200,.400,0.0,12.9,7.5,11.7,1.4,0.0,22.1,29.2,124,124,1.9
Kyrie Irving,35:12,.686,.659,.409,.136,0.0,10.2,5.9,24.1,0.0,0.0,4.1,33.1,137,127,5.6
Royce O'Neale,32:28,.000,.000,1.000,.000,0.0,25.9,15.0,9.6,0.0,0.0,42.9,10.3,30,125,-13.0
Ben Simmons,32:23,.635,.714,.000,.286,5.1,14.8,10.7,19.2,1.6,0.0,27.6,16.1,110,123,-2.4
Nic Claxton,25:53,.880,1.000,.000,1.600,19.2,32.5,26.9,0.0,1.9,18.5,10.5,17.6,165,102,14.2
Joe Harris,23:06,.700,.700,.600,.000,0.0,10.4,6.0,15.7,0.0,0.0,16.7,12.5,128,127,0.6
Yuta Watanabe,20:52,1.079,1.071,.571,.286,0.0,17.3,10.0,7.1,2.4,0.0,0.0,18.1,212,121,17.2
T.J. Warren,17:03,.727,.667,.167,.333,0.0,14.1,8.2,0.0,0.0,0.0,0.0,19.3,146,126,-2.6
Seth Curry,6:36,.000,.000,.000,.000,0.0,0.0,0.0,15.8,0.0,0.0,0.0,14.5,36,129,-18.4
Cam Thomas,4:54,.000,.000,.500,.000,0.0,24.5,14.2,21.3,0.0,0.0,0.0,19.6,36,125,-17.4
Edmond Sumner,4:23,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,11.5,0.0,0.0,10.9,0,103,-7.1
Markieff Morris,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
