Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jamal Murray,32:31,.483,.425,.350,.200,0.0,33.2,16.2,34.5,1.5,3.0,12.1,34.5,99,106,2.8
Kentavious Caldwell-Pope,31:01,.689,.667,.556,.111,3.7,0.0,1.9,11.0,0.0,0.0,9.6,15.3,132,117,-0.8
Jeff Green,27:58,.654,.400,.200,1.200,4.1,4.3,4.2,0.0,0.0,0.0,11.6,14.0,128,116,-6.2
Michael Porter Jr.,27:40,.282,.188,.750,.250,0.0,13.0,6.3,10.1,0.0,0.0,18.4,17.8,60,115,-12.1
DeAndre Jordan,26:00,.410,.500,.000,.500,8.8,27.7,18.0,11.4,0.0,3.7,17.0,10.3,97,109,-2.8
Zeke Nnaji,26:17,.781,.786,.429,.429,8.7,4.6,6.7,0.0,1.9,0.0,19.4,17.8,126,112,-0.9
Bones Hyland,22:30,.661,.633,.667,.133,0.0,37.3,18.2,20.3,0.0,0.0,5.9,34.0,126,111,9.8
Bruce Brown,21:52,.600,.600,.500,.000,5.2,27.4,16.1,26.3,2.3,8.8,28.6,29.0,93,101,6.0
Christian Braun,14:55,.500,.500,.000,.000,7.7,0.0,3.9,9.8,0.0,6.4,0.0,6.1,137,112,0.8
Vlatko Čančar,9:16,.500,.500,.500,.000,0.0,25.9,12.6,0.0,0.0,0.0,0.0,9.8,101,113,-6.4
Davon Reed,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Peyton Watson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jack White,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
