Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paolo Banchero,33:55,.621,.571,.333,.429,0.0,16.6,8.5,21.0,2.8,0.0,13.8,38.2,105,91,11.6
Franz Wagner,31:36,.389,.367,.333,.067,0.0,14.9,7.6,17.9,0.0,0.0,6.1,23.3,79,98,-6.2
Markelle Fultz,30:18,.368,.300,.000,.200,6.5,9.3,7.9,28.0,4.8,0.0,15.5,19.0,86,89,1.4
Moritz Wagner,29:20,.517,.313,.500,.750,0.0,19.3,9.8,16.5,3.3,0.0,0.0,16.2,118,89,5.8
Bol Bol,20:08,.583,.556,.111,.111,14.6,23.4,19.1,0.0,0.0,0.0,9.6,23.2,111,95,-0.5
Cole Anthony,21:44,.500,.500,.143,.000,0.0,13.0,6.6,25.1,0.0,0.0,36.4,22.6,69,99,-9.0
Terrence Ross,18:57,.167,.167,.500,.000,0.0,5.0,2.5,16.6,0.0,0.0,14.3,16.5,43,102,-12.4
Mo Bamba,18:40,.000,.000,1.000,.000,0.0,30.3,15.4,7.8,2.6,18.4,0.0,4.8,27,77,2.1
Kevon Harris,18:33,.000,.000,1.000,.000,5.3,5.1,5.2,0.0,0.0,0.0,0.0,2.4,62,102,-8.8
Admiral Schofield,16:49,.929,.929,.714,.000,0.0,22.4,11.4,0.0,2.9,0.0,0.0,18.6,160,88,17.6
Caleb Houstan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
