Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Edwards,38:58,.447,.447,.158,.000,0.0,6.7,3.1,19.8,1.2,4.2,13.6,24.6,87,124,-4.8
Rudy Gobert,29:30,.694,.500,.000,1.000,7.7,35.2,20.6,8.6,0.0,5.5,14.8,10.0,141,121,0.1
Mike Conley,25:42,.571,.500,.571,.286,0.0,5.0,2.4,15.8,3.6,0.0,27.6,18.4,92,122,-4.1
Jaden McDaniels,22:58,.300,.300,.500,.000,5.0,11.3,7.9,5.7,0.0,0.0,0.0,19.0,74,129,-12.2
Kyle Anderson,17:06,.872,.833,.500,.333,6.7,37.9,21.3,18.9,2.7,0.0,22.5,22.6,135,119,11.6
Jaylen Nowell,24:00,.656,.656,.438,.000,0.0,10.8,5.1,8.7,0.0,0.0,5.9,30.8,114,129,2.6
Austin Rivers,19:53,.717,.625,.750,.500,0.0,6.5,3.1,13.3,2.4,0.0,0.0,10.7,157,124,2.4
Taurean Prince,18:26,.750,.750,.500,.000,0.0,21.1,9.9,27.9,0.0,0.0,33.3,28.3,97,127,-2.5
Jordan McLaughlin,18:21,.625,.625,.750,.000,12.5,0.0,6.6,29.3,2.6,0.0,33.3,14.2,115,125,-0.5
Naz Reid,16:51,.714,.714,.429,.000,0.0,23.1,10.8,19.2,0.0,0.0,12.5,20.7,123,127,2.8
Nickeil Alexander-Walker,1:39,.000,.000,.000,.000,0.0,78.6,36.8,0.0,0.0,0.0,0.0,26.4,0,119,-27.9
Luka Garza,1:39,.000,.000,1.000,2.000,69.3,0.0,36.8,0.0,0.0,0.0,0.0,49.6,39,131,-43.9
Nathan Knight,1:39,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,131,-8.5
Josh Minott,1:39,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,131,-8.0
Wendell Moore Jr.,1:39,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,28.4,0.0,0.0,26.4,0,70,3.4
