Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
D'Angelo Russell,37:04,.679,.679,.571,.000,0.0,8.6,3.5,19.1,1.3,0.0,12.5,18.0,132,137,-1.5
Rudy Gobert,32:28,.752,.750,.000,.750,13.4,49.3,28.0,0.0,3.0,0.0,15.8,16.2,135,129,0.0
Jaden McDaniels,29:29,.698,.643,.286,.286,7.4,5.4,6.6,17.8,0.0,0.0,27.6,15.4,121,141,-3.4
Austin Rivers,29:13,.667,.667,.667,.000,0.0,16.4,6.7,12.9,4.9,3.4,25.0,11.4,113,126,3.6
Anthony Edwards,24:01,.530,.500,.389,.111,0.0,6.7,2.7,44.4,0.0,0.0,9.6,36.2,116,140,-1.7
Taurean Prince,27:07,.500,.500,.444,.000,0.0,11.8,4.8,9.4,0.0,3.7,10.0,15.4,106,137,-6.0
Jaylen Nowell,16:57,.410,.375,.375,.500,0.0,9.4,3.8,8.2,2.8,0.0,17.0,28.9,77,134,-13.8
Naz Reid,13:29,.571,.571,.000,.000,48.5,23.7,38.5,0.0,0.0,0.0,22.2,27.8,114,138,-10.5
Bryn Forbes,11:35,.551,.500,.600,.200,0.0,0.0,0.0,11.9,0.0,0.0,15.5,23.2,105,141,-10.4
Matt Ryan,9:53,1.031,1.000,.667,.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,210,141,7.7
Nathan Knight,8:44,.525,.333,.000,1.333,12.5,18.3,14.9,0.0,0.0,0.0,17.4,27.5,103,139,-13.4
Kyle Anderson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Luka Garza,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
