Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Damian Lillard,38:38,.589,.550,.567,.233,2.4,37.3,15.3,40.1,1.3,0.0,15.4,44.7,107,133,5.6
Cam Reddish,32:56,.750,.750,.583,.000,0.0,4.9,1.8,5.6,1.5,0.0,0.0,16.1,148,136,2.0
Matisse Thybulle,30:09,.250,.250,.750,.000,0.0,5.3,2.0,4.6,6.7,0.0,20.0,7.3,52,124,-7.6
Drew Eubanks,27:29,.307,.250,.000,.500,17.1,34.9,23.7,10.2,1.8,15.2,17.0,9.5,103,120,-1.8
Anfernee Simons,26:30,.507,.433,.200,.267,0.0,12.1,4.5,21.6,1.9,0.0,5.6,29.6,107,134,-2.6
Shaedon Sharpe,28:14,.709,.667,.556,.222,3.3,0.0,2.1,6.2,0.0,0.0,0.0,15.5,149,140,-0.4
Nassir Little,17:24,.085,.000,1.000,.400,10.8,27.6,17.0,30.7,0.0,0.0,0.0,14.9,74,137,-9.6
Trendon Watford,13:51,.385,.333,.000,1.667,6.8,23.1,12.8,0.0,3.6,0.0,16.1,19.8,75,129,-15.6
Jabari Walker,11:43,.798,1.000,.000,2.000,8.0,13.7,10.1,12.8,0.0,8.9,51.5,14.6,88,131,-6.1
Kevin Knox,7:35,.000,.000,1.000,.000,12.4,0.0,7.8,0.0,0.0,0.0,0.0,5.8,63,140,-18.8
Ryan Arcidiacono,2:45,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,140,-11.5
Keon Johnson,2:45,.000,.000,.500,.000,0.0,0.0,0.0,48.5,0.0,0.0,0.0,32.2,31,140,-27.0
John Butler,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
