Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Donte DiVincenzo,38:10,.711,.692,.692,.308,5.1,15.1,10.2,20.8,5.0,0.0,16.9,19.1,131,99,10.5
Jordan Poole,34:42,.338,.275,.400,.250,2.8,5.5,4.2,17.2,2.8,3.1,15.3,31.1,76,104,-11.5
Klay Thompson,32:58,.670,.652,.609,.087,0.0,14.6,7.4,27.1,0.0,0.0,11.2,33.5,125,110,7.6
Kevon Looney,31:45,.661,.667,.000,1.167,21.6,30.2,26.0,9.2,0.0,3.4,0.0,11.8,162,102,2.3
Jonathan Kuminga,27:18,.597,.550,.100,.200,0.0,17.6,8.9,5.8,1.8,0.0,21.6,20.9,97,105,-4.2
Anthony Lamb,24:34,.700,.700,.400,.000,12.0,15.6,13.8,11.8,0.0,8.7,16.7,10.0,139,104,2.7
Ty Jerome,21:24,.200,.200,.200,.000,4.6,13.5,9.1,24.4,6.7,0.0,0.0,9.6,99,94,-0.3
Patrick Baldwin Jr.,12:51,.375,.375,.750,.000,0.0,22.4,11.3,0.0,0.0,0.0,0.0,12.8,88,108,-7.3
JaMychal Green,12:00,.410,.375,.750,.500,16.3,8.0,12.1,11.4,0.0,8.9,29.1,23.6,81,107,-6.6
Moses Moody,4:18,.000,.000,1.000,.000,0.0,22.3,11.3,0.0,11.1,0.0,0.0,9.6,0,83,-2.1
Andre Iguodala,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Ryan Rollins,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
